sentence,true_label
"The bulk modulus, K T0 , varies from 134.0(7) GPa for pure jadeite to 116.1(5) GPa for pure aegirine.",entailment
The bulk modulus for the B4 phase was determined to be 223 ± 4 GPa.,entailment
The band structure of these materials demonstrates that they are indirect semiconductors.,contradiction
"Here, we report Nb/CoFeB/Nb Josephson devices and demonstrate an enhancement of the critical current by up to 700% following thermal annealing due to increased structural ordering of the CoFeB.",contradiction
"The purpose of this paper is to provide equations relating conductivity and temperature (in the range 20°C–40°C) for five solutions: 0.9% saline, MEM (Minimum Essential Media), horse serum, MEM with 1% horse serum, and MEM with 10% horse serum.",contradiction
"The bulk modulus of c-BC2N is 282 GPa which is one of the highest bulk moduli known for any solid, and is exceeded only by the bulk moduli of diamond and c-BN.",entailment
We have studied the elasticity and pressure–density equation of state of MgO in diamond cells to 55 GPa.,contradiction
The bulk modulus of BeO at zero pressure is determined to be 223 GPa by the Birch's equation.,entailment
"The Ce, Pr and Tb dioxides crystallize in the cubic fluorite structure whereas the other rare earths form sesquioxides. ",contradiction
"Also, the value of 213 GPa for the bulk modulus of Eu0.48Sr0.52MnO3 in paramagnetic phase (above TN) is close to our calculated values of bulk modulus of the Eu-doped CaMnO3 compounds in the electron-doped region (Table 2).",entailment
"Similarly, the elastic constants, bulk modulus and other mechanical properties obtained from our calculations are in very good agreement with the values available in the literature.",contradiction
"Calculations within the density functional theory shown that the five polymorphs of C3N4, i.e. cs-, p-, α-, β- and c- C3N4 have bulk moduli 379.2, 393.2, 378.7, 419.1 and 449.2 GPa respectively with corresponding hardness (Vickers) of 62.3, 79.6, 82.7, 85.7, and 92.0 GPa respectively.",entailment
Pressure transmitting medium Daphne 7474 solidifying at 3.7 GPa at room temperature,contradiction
"The density, adiabatic bulk modulus and P-wave velocity of liquid Fe calculated up to 328.9 GPa.",entailment
"We calculated elastic constants C ij (GPa), bulk modulus B (GPa), shear modulus G (GPa), Young's modulus Y (GPa) and B/G ratio of PtAlTM.",contradiction
The calculation of hydraulic conductivity by a modified Millington-Quirk method with a matching factor gave conductivity values closely approximating experimentally measured values. ,contradiction
"Values of all the quantities calculated for parent InN and GaN have been compared with the literature data and then evaluated as functions of composition x on a dense, 0.05 step, grid.",contradiction
"The influences of electron localization/delocalization and the tunable bandgap on thermal behaviors such as the electronic thermal conductivity, the Seebeck coefficient, and the figure of merit, and optical properties such as the dielectric function, the excitation spectra, the refractive index, the electron energy loss spectra, the reflectivity, and the optical conductivity are presented",contradiction
The ruby pressure standard to 150 GPa.,contradiction
New EAM potentials for the ternary palladium-silver-hydrogen system are developed by extending a previously developed palladium-hydrogen potential.,contradiction
High purity neptunium metal was studied under high pressure using a diamond anvil cell in an energy dispersive X-ray facility. ,contradiction
From the obtained pressure-volume relation for hBN the isothermal bulk modulus of 36.7±0.5 GPa and its first pressure derivative of 5.6±0.2 have been calculated.,entailment
"A gigapascal (GPa) is a decimal multiple of the pascal, which is the SI-derived unit of pressure, stress, Young's modulus, bulk modulus, and ultimate tensile strength.",contradiction
"Here, we probe heterobilayers comprised of single-layer MoS2 and WS2 with twist angles of (2.0±0.5)∘, (13.0±0.5)∘, and (20.0±0.5)∘ and investigate the differences in their electronic band structure using micro-focused angle-resolved photoemission spectroscopy.",contradiction
"A distinction is made between the surface Helmholtz free energy F, and the surface tension γ. The surface energy is the work necessary to form unit area of surface by a process of division: the surface tension is the tangential stress (force per unit length) in the surface layer.",contradiction
The Young's moduli of these alloys are lower compared with that of Ti–6Al–4V ELI which has been used as an implant material. ,contradiction
"Bi2CuCrO6, with cubic symmetry with a = 7.95 Ǻ, to show ferrimagnetic ordering with Curie temperature (Tc) of 350 K. With respect to magnetoresistance, symmetric MR behavior is shown in both cycles with 1.3%.",contradiction
"From that transition, the gradient represented the bulk modulus. ",contradiction
"The bulk moduli of the superconducting skutterudites were 144 GPa for YFe4P12, 183 GPa for YRu4P12 and 189 GPa for YOs4P12.",entailment
"Fits to the static compression data of MgO at 300 K yield a bulk modulus of 185(7) GPa and 160(2) GPa under nonhydrostatic and hydrostatic conditions, respectively.",entailment
We have found the bulk moduli of diamond and SiC to be 123 and 345 GPa respectively.,entailment
"The relaxed adiabatic bulk modulus, derived from relaxed velocities, for An (anorthite)at 1893K is 20.4 ± 0.2 GPa and for Di.64An.36 (diopside-anorthite melts) at 1677K is 23.0 ± 0.1 GPa.",entailment
B 2 and Re B 2 have been experimentally demonstrated to have high bulk moduli of 365 GPa.,entailment
Bulk Modulus of Chalk is 9 GPa.,entailment
 Hardness values of the film material can be obtained from films with a thickness of more than 2000 Å with this technique. The application of the technique requires conventional microhardness measurements on both coated and uncoated substrates and a knowledge of the film thickness. The film hardness is obtained from these data by the use of a simple formula which is based on a physical model of film deformation during indentation. ,contradiction
The bulk modulus of CsH at 253 GPa is 881 GPa.,entailment
"All 47Â P-VÂ data points were used to obtain a third-order Birch-Murnaghan equation of state with zero-pressure parameters: unit cell volumeÂ V0Â = 45.37Â±(0.08) Ã…3, density Ï0Â = 4.252(Â±0.008) Mg/m3, and bulk modulusÂ K0Â = 281(Â±4) GPa, with an assumed bulk modulus pressureÂ K0â€² = 4.",entailment
From the obtained pressure-volume relation for hBN the isothermal bulk modulus of 36.7 GPa and its first pressure derivative of 5.6 have been calculated.,entailment
"Fitting to the equation developed earlier, bulk modulus (80 GPa) was yielded as the final calculation.",contradiction
We confirm that these replica features arise from the inherent moiré potential by comparing our experimental observations with density functional theory calculations of the superlattice dispersion.,contradiction
"Generally the bulk modulus is defined at constant temperature as the isothermal bulk modulus, but can also be defined at constant entropy as the adiabatic bulk modulus.",contradiction
We have reported a bulk modulus of Zn2V2O7 and explained why such facile structural transformations are enabled with both pressure and temperature.,contradiction
Room-temperature volume measurements up to 8.1 GPa reveal that rock-salt structured MnO and CdO have identical compressibility in the pressure range studied.,contradiction
"Onsager first explained the tendency of highly anisotropic rod-like and plate-like particles (for example, tobacco mosaic virus and clay particles in solution) to form orientationally ordered nematic phases, and his pioneering work has since been refined into a rich and technologically significant theory of liquid-crystalline material properties and phase transitions.",contradiction
"Calculated bulk modulus B (GPa), shear modulus G (GPa), Young's modulus E (GPa), Poisson's ratio are shown in the table.",contradiction
"The bulk modulus, shear modulus and Young's modulus of Mo 3 Al are 220.7 GPa, 123.5 GPa and 312.3 GPa, respectively, which are larger than the other Mo–Al alloys.",entailment
We found an increase of 25% in sheer bulk modulus of Ni.,contradiction
Na2Si2O5 has pressure of 25 GPa.,contradiction
"Fitting to the equation developed earlier, bulk modulus (B0 = 80 GPa) was yielded as the final calculation.",contradiction
The bulk modulus of α-boron has also been measured to 5 GPa by single-crystal x-ray techniques. The values have been determined to be 185(7) GPa for β-boron and 224(15) GPa for α-boron.,entailment
"So far, there has been no report on superconducting devices based on CoFeB.",contradiction
"The chemistry of actinide oxides is a complex field, with complications stemming from non-stoichiometry and often from self-damage resulting from decay of radioactive isotopes.",contradiction
"A new approach has been developed to yield both the particle density and particle mass (or size) of colloidal materials using a sedimentation field-flow fractionation system. The method involves varying the density of the carrier fluid, in the present case using aqueous sucrose solutions.",contradiction
The Mexican-hat coefficient can be tuned by out-of-plane strain.,contradiction
"R-semiconductor-0 and R-semiconductor-100 exhibit lower bulk modulus (51, 41 GPa respectively) compared to rutile, which means that these new structures are less hard than rutile. According to R-semiconductor-300′s bulk modulus (212 GPa), we can say that R-semiconductor-300 is as hard as rutile.",entailment
"The pressure dependence of the equilibrium lattice constant, bulk modulus, mode Grüneisen parameters, and phonon structures has been presented.",contradiction
The bulk modulus of SrN2 in GPa is larger than that of Sr(N3)2.,contradiction
The structural behavior of α-uranium at room temperature has been studied up to 100 GPa in diamond anvil cells using angle-dispersive x-ray diffraction at a synchrotron source.,contradiction
"The experimental value for the bulk modulus of ThO2 is found to be 195.3 ± 2.0 GPa, which compares well with the calculated value of 198 GPa obtained by using the generalised gradient approximation to the exchange correlation potential.",entailment
"By extrapolating to the zero pressure (close to 1 atm in this work) with the fitted line, the bulk modulus is estimated to be about 5.6 GPa, which is obviously higher than the simulated value (about 1.2 GPa) in this work.",entailment
"Using Lyakhov and Oganov's model [19], the hardness of C 64 is predicted to be 60.2 GPa.",contradiction
"The bulk modulus B0 at atmospheric pressure for the nonporous matrix is 65 GPa, much smaller than B(P) obtained at high pressures from lattice-parameter measurements.",entailment
"The bulk modulus of 14 Å tobermorite was calculated, Ko = 47 GPa.",entailment
"Zha et al. claimed to establish a primary pressure scale up to ~55 GPa by conducting measurements of elasticity of MgO single crystal and volume of MgO polycrystalline separately they applied Brillouin light scattering (BLS) for elasticity, and synchrotron X-ray measurement for lattice parameters.",contradiction
For γ-Fe2O3 the bulk modulus has been found to increase from 203 GPa for the bulk material to 305 GPa for 9 nm size crystals.,entailment
"The rocksalt phase persisted to the highest pressure studied, yielding a bulk modulus of 295(17) GPa for AlN, 323(27) GPa for GaN and 170(16) GPa for InN. ",entailment
The bulk modulus of Mg2FeH6 was found to be 75.4(4) GPa by optimized experiment and 76.3 GPa by theoretical simulation.,entailment
Liquid H2O and NH3 were calculated having pressure of 30 and 230 GPa using equation.,contradiction
The bulk modulus of V2GeC (165 ± 2 GPa) is lower than that of Cr2GeC (182 ± 2 GPa).,entailment
"The velocities of MgSiO 3 -orthopyroxene increase more rapidly with pressure than those for Mg 2 SiO 4 -olivine (especially for P-waves), such that these two mineral phases are virtually indistinguishable in their velocities at 200 km depth, unless the velocity-temperature dependence of the two phases is dramatically different.",contradiction
"We investigated a new superhard Imma-carbon allotrope with a direct band gap of 2.60 eV, high hardness of 83.5 GPa, and large bulk modulus of 4447 GPa.",entailment
"In this paper, we found K7Si6O4 has a pressure of 68 GPa.",contradiction
"For a complex anisotropic solid such as wood or paper, these three bulk moduli do not contain enough information to describe its behaviour, and one must use the full generalized Hooke's law.",contradiction
"Our calculations reproduce the lattice constants with good accuracy, but find identical bulk modulii for CeO2 (176.9 GPa) and PrO2 (176.8 GPa).",entailment
"Fitting a fourth-order Eulerian finite-strain equation of state yield values of the bulk modulus and its first and second pressure derivatives, K 0 = 104(2) GPa, K 0 = 10.9(5), and K 0 = -1.6(2) GPa (super -1) . ",entailment
"The alchemical mixing approximation which is the ab initio pseudopotential specific implementation of the virtual crystal approximation (VCA), offered in the ABINIT package, has been employed to study the wurtzite (WZ) and zinc blende (ZB) InxGa(1-x)N alloy from first principles.",contradiction
"In this preliminary report, we discuss the correlation between B–H atomistic vibrations in [BH4]−-anion and melting temperatures of MBH4 (), on the basis of the experimental results combined the Raman spectroscopy and differential scanning calorimetry. Both the B–H stretching modes ν1 and B–H bending modes ν2, decrease in the order of LiBH4>NaBH4>KBH4, except for ν1 of LiBH4. ",contradiction
The calculated value of bulk modulus of Ca0.8La0.2MnO3 is 220 GPa in paramagnetic phase.,entailment
"The framework is highly compressible, with a bulk modulus (K = −V ∂P/∂V) of 6.52(35) GPa, the most compressible metal−organic framework (MOF) documented to date.",entailment
Elasticity of MgO and a primary pressure scale to 55 GPa.,contradiction
"For the orthorhombic phase we obtain a value of K0 ranging from 452.5 GPa to 476 GPa, whose K′ varies from 3.09 to 3.38 and its conventional V0 oscillates from 73.074 Å3 to 73.277 Å3.",entailment
"These include the lattice parameter and the Ge-Ge Raman frequency, which are found to depend linearly on composition.",contradiction
"In a fluid, the bulk modulus K and the density Ï determine the speed of sound c (pressure waves), according to the Newton-Laplace formula.",contradiction
Stibnite is a very compressible material with a bulk modulus of 26.91(14) GPa.,entailment
"Recent studies on quenchedhigh density ZrO2 and TiO2 report bulk moduli of 444 and 431 GPa, respectively.",entailment
Solid oxygen has been carried out up to 116 GPa at room temperature.,contradiction
We also report the direct determination of the bulk modulus Bo of this compound (246 GPa).,entailment
The values obtained all exceed the bulk modulus (441 GPa) of diamond,entailment
The bulk modulus calculated from Cij components is equal B = 35 GPa.,entailment
Thus we observe that the tetragonal CoFe2O4 has a relatively small bulk modulus of 94.12 GPa.,entailment
Bulk modulus of Ti was found to be 25 GPa.,entailment
"Additionally, the band-gaps for pure InN and GaN have been calculated with the Wien2k code, for comparison purposes.",contradiction
"In addition, it is estimated that the bulk modulus at pressure of the silicon dicarbide lattice can attain values in excess of 545 GPa by a mechanism of harmonic compression which has been described earlier for glitter.",entailment
"On applying pressure to ZIFâ€8 (0.18 GPa), solvent can be squeezed into the porous cavities.",contradiction
Magnesium is the lightest of all metals used as the basis for constructional alloys.,contradiction
"Some results have been obtained which, to authors' knowledge, have not yet been reported in the literature, like composition dependent elastic constants in ZB structures or composition dependent pressure derivatives of elastic constants.",contradiction
"Change in weight (μg/mm3) values were significantly different (p<0.05), according to the immersing solution for the materials Solitarie®, Ariston pHc® and Surefil® At 64 days, all specimens gained weight with the exception of the material Ariston pHc® that lost 20.57 μg/mm3 (±6.46). ",contradiction
The bulk modulus of the NaCl structure was determined to be 194 GPa. ,entailment
"The bulk modulus of the 011 phase is significantly greater than the bulk moduli of the M and 01 phases, 95 and 220 GPa, respectively.",entailment
"At concentrations greater than random close-packing for rigid tubular objects, this bending leads to the formation of a disordered web-like structure of substantial mechanical integrity.",contradiction
"The bulk modulus of UN shows a very good agreement, the experimental value being 203(6) GPa and the theoretical value 214 GPa. ",entailment
This value exceeds the bulk modulus of diamond (420 GPa for single diamond crystal).,entailment
"Using Eqn. 6, the bulk modulus of spinel Fe3O4 is calculated to be 177 GPa, in good consistent with the experimental value of 187 GPa.",entailment
"Furthermore, the scaling argument successfully reproduces the bulk moduli of a number of diamond- and zinc-blende-structured solids, including carbon (435 GPa), silicon (98 GPa).",entailment
Our previous work has shown that the calculated bulk modulus and shear modulus of PtZr are 165 GPa and 27 GPa.,entailment
"The bulk modulus (B0) and the atomic volume at atmospheric pressure (V0) of the sh phase were estimated to be 84.1 GPa and 14.2 Å3, with a fixed value of the pressure derivative of the bulk modulus (B′0).",entailment
Ni has a curie temperature of 38.5 C.,contradiction
The bulk modulus of Ni3–xS at 300 K was determined to be 140 ± 2 GPa with a fixed K′ = 4 by static compression with a liquid pressure medium.,entailment
Pressure of CeO2 and PrO2 are measured as 12 GPa and 58 GPa.,contradiction
