sentence1,true_label
"In nanocrystalline materials, usually defined as those polcyrystalline media for which the average grain size is less than 100 nm (Gao, Wang, & Ogata, 2013; Gleiter, 2000), a significant number of atoms occupies the grain boundary zone or the grain boundary affected zone (Barai & Weng, 2011).",contradiction
Therefore such materials can be treated as composed of two main phases.,contradiction
"The effect of grain boundaries on the effective properties of a bulk nanocrystalline material is the more pronounced the smaller is a grain size (Gao et al., 2013; Sanders, Eastman, & Weertman, 1997).",contradiction
"An impact of the atom arrangements at the nanoscale on the effective properties of such materials has been studied mainly by means of atomistic simulations (Hahn & Meyers, 2015), although some experimental data, in majority related to fcc materials, can be also found in the literature, e.g. Legros, Elliott, Rittner, Weertman, and Hemker (2000), Sharma and Ganti (2003).",contradiction
"Much less investigations were performed for hexagonal crystals in spite of the technological importance of magnesium, titanium or cobalt.",contradiction
"At the macro-level the continuum mechanics description is applicable for nanocrystalline materials, so the mean-field estimates are employed to describe their bulk properties.",contradiction
"An extensive review of such estimates was performed by Kowalczyk-Gajewska and Maz?dziarz (2018), in view of which for nano-grained polycrystals the following types of two-phase or multi-phase frameworks were formulated: i.",contradiction
"simplified mixture rule-based models (Benson, Fu, & Meyers, 2001; Carsley, Ning, Milligan, Hackney, & Aifantis, 1995; Kim & Bush, 1999; Qing & Xingming, 2006; Zhou, Li, Zhu, & Zhang, 2007), ii.",contradiction
"inclusion-matrix models (Sharma & Ganti, 2003) or iii.",contradiction
"composite sphere / generalized self-consistent-type models (Capolungo, Cherkaoui, & Qu, 2007; Chen, Shi, Zhang, Zhu, & Yan, 2006; Jiang & Weng, 2004; Kowalczyk-Gajewska & Maz?dziarz, 2018; Mercier, Molinari, & Estrin, 2007; Ramtani, Bui, & Dirras, 2009; Sevostianov & Kachanov, 2006; 2007).",contradiction
"In the present study on nanocrystalline hexagonal metals we follow the proposal of Kowalczyk-Gajewska and Maz?dziarz (2018) for fcc copper, which is inspired by earlier works by Jiang and Weng (2004) and Capolungo et al. (2007).",contradiction
"This composite grain model is formulated in two variants called the Mori-Tanaka (MT) and self-consistent (SC) core-shell model, respectively.",contradiction
In view of the proposed geometrical idealization of nanocrystalline medium an additional phase that forms an uniform isotropic coating around the anisotropic grain core is introduced.,contradiction
"Let us mention that a more sophisticated treatment of a grain boundary zone can be found in Sevostianov and Kachanov (2006, 2007) studies dedicated to metal-matrix composite reinforced by nanosized inclusions.",contradiction
"Following Shen and Li (2003), authors assumed that the interphase layer between the inclusion and the matrix has isotropic properties which vary smoothly with ?upward convexity?.",contradiction
"Alternatively, a step-wise gradation of interphase properties has been assumed by Jurczak et al. (2019).",contradiction
"As demonstrated in Kowalczyk-Gajewska and Maz?dziarz (2019) also in the frame of the core-shell model inhomogeneous shell properties can be assumed, though, on the cost of a more complicated formulation and necessity to identify additional material parameters.",contradiction
"Most often to identify those parameters and validate the proposed estimates the molecular dynamics/statics simulations are used (Chang, 2003; Choi, Park, & Hyun, 2012; Fang, Huang, & Chiang, 2016; Gao et al., 2013; Kowalczyk-Gajewska & Maz?dziarz, 2018; Mortazavi & Cuniberti, 2014; Schi›tz, Vegge, Di Tolla, & Jacobsen, 1999).",contradiction
"Finite element calculations are scarce because they require non-standard constitutive models accounting for size effects (Kim, Dolbow, & Fried, 2012).",contradiction
"The common trend observed in the majority of such simulations is reduction of elastic stiffness with a decreasing grain size (Gao et al., 2013; Xu & Da?vila, 2017; Zhao, Albe, & Hahn, 2006).",contradiction
"Such variation of elastic moduli with a grain size would be predicted by the core-shell models when, on average, the boundary zone is elastically less stiff than a grain core (Gao et al., 2013; Jiang & Weng, 2004; Kowalczyk-Gajewska & Maz?dziarz, 2018; Ramtani et al., 2009).",contradiction
It is worth mentioning that a reverse trend was found in atomistic simulation by Kowalczyk-Gajewska and Maz?dziarz (2019) for two (i.e. vanadium and niobium) out of eight metals of cubic symmetry studied therein.,contradiction
"Interestingly, these two crystals have a Zener anisotropy factor lower than one, contrary to remaining six metals.",contradiction
"The challenging issue for those multi-phase concepts is to propose an appropriate description of a grain boundary zone (or zones), namely its volume fraction, morphology and local properties.",contradiction
"To this end, likewise, molecular static/dynamic simulations are employed, commonly in a bi-crystal configuration, e.g. Kluge, Wolf, Lutsko, and Phillpot (1990), Singh and Parashar (2018).",contradiction
"Results depend on the disorientation axis and angle between two grains, see also Rittner and Seidman (1996) and Tschopp and McDowell (2007).",contradiction
"For a mean-field model of random nanocrystalline medium the average properties representative for all types of boundaries are of interest, therefore we apply the procedure adopted in Kowalczyk-Gajewska and Maz?dziarz (2019).",contradiction
Elastic properties of a grain boundary zone are identified on generated polycrystal samples for which the fraction of transient shell atoms encompasses the whole volume.,contradiction
A thickness of this zone is assumed as equal to the cutoff radius of a respective atomistic potential.,contradiction
"The present paper reports a follow-up to the recent studies by Kowalczyk-Gajewska and Maz?dziarz (2018, 2019).",contradiction
